
Microenvironment summary: 
microenvironment: 
Microenvironment_private_data:
temporary_density_vectors1:
0.0540308 0.0298576 
0.0643973 0.0381207 
0.0766496 0.0427863 
0.0900191 0.0380475 
0.102194 0.0297203 
0.108278 0.0217266 
0.102072 0.0154538 
0.0897229 0.0110208 
0.0760798 0.00812871 
0.0634136 0.00642924 
0.0524576 0.00564224 
0.0432642 0.00557123 
0.0356455 0.00608338 
0.0293597 0.00707834 
0.0241792 0.00845352 
0.0199091 0.0100702 
0.0163882 0.011728 
0.0134843 0.0131647 
0.0110895 0.0141001 
0.0091152 0.0143323 
0.00748851 0.0138479 
0.00614917 0.0128512 
0.00504734 0.0116632 
0.00414168 0.0106068 
0.00339794 0.00994561 
0.00278769 0.00986901 
0.00228738 0.010495 
0.00187749 0.0118599 
0.00154187 0.0138754 
0.00126719 0.0162473 
0.00104242 0.0183984 
0.000858508 0.0195334 
0.000707985 0.0190803 
0.000584729 0.0174189 
0.000483725 0.015178 
0.000400872 0.0128192 
0.000332825 0.0105868 
0.000276859 0.00858445 
0.000230761 0.00684619 
0.000192734 0.00537486 
0.000161325 0.00415771 
0.000135355 0.00317269 
0.000113876 0.00239201 
9.61214e-05 0.00178523 
8.14747e-05 0.00132203 
6.94408e-05 0.000974248 
5.96239e-05 0.000717176 
5.17092e-05 0.000530138 
4.54489e-05 0.000396496 
4.06512e-05 0.000303367 
3.71716e-05 0.000241181 
3.4907e-05 0.00020323 
3.37909e-05 0.000185278 
0.000455468 0.315211 
0.000479734 0.425373 
0.000529437 0.754166 
0.000606976 0.645321 
0.000716088 0.355608 
0.00086203 0.206912 
0.00105182 0.124208 
0.00129459 0.0763974 
0.001602 0.0478941 
0.00198881 0.0305051 
0.00247359 0.0197235 
0.00307965 0.0129755 
0.00383613 0.00875011 
0.00477951 0.00614433 
0.0059554 0.00461732 
0.00742091 0.00385296 
0.00924762 0.00368341 
0.0115255 0.00404838 
0.014368 0.00497678 
0.017919 0.00658324 
0.0223618 0.00907268 
0.0279321 0.012742 
0.0349354 0.0179515 
0.0437696 0.0249989 
0.054948 0.0337511 
0.0690998 0.0428096 
0.0868595 0.0482786 
0.108353 0.0444174 
0.131455 0.0369679 
0.147107 0.0297981 
0.132004 0.0242245 
0.109473 0.0202375 
0.0885998 0.0173577 
0.0715341 0.0150692 
0.0581797 0.0130299 
0.0479361 0.0111326 
0.0402136 0.00941884 
0.0345458 0.00797746 
0.0305919 0.00689003 
0.0281161 0.00622306 
0.0269688 0.00604738 
0.0270746 0.00647115 
0.028426 0.00768169 
0.0310849 0.00999835 
0.0351891 0.0139385 
0.040967 0.0202853 
0.048759 0.0300811 
0.0590417 0.0442587 
0.0724288 0.0619974 
0.0895591 0.0756999 
0.110574 0.061872 
0.133354 0.0440198 
0.148786 0.0297548 
0.133382 0.0199145 
0.110563 0.013588 
0.0893862 0.00975897 
0.0719263 0.00767528 
0.0580108 0.00685337 
0.0469769 0.00700754 
0.0381875 0.00797744 
0.0311367 0.00966303 
0.025443 0.0119611 
0.0208208 0.0146993 
0.0170537 0.0175746 
0.0139753 0.020127 
0.0114554 0.0218027 
0.00939066 0.0221548 
0.00769822 0.0211267 
0.00631086 0.0191566 
0.00517381 0.016882 
0.00424226 0.0148823 
0.0034794 0.0135852 
0.00285497 0.013283 
0.00234407 0.0141759 
0.00192618 0.0163834 
0.00158444 0.0198762 
0.00130497 0.0242872 
0.00107637 0.0286132 
0.000889288 0.0310651 
0.000736065 0.0299458 
0.000610436 0.0266251 
0.00050729 0.0226075 
0.000422462 0.0187005 
0.000352568 0.015195 
0.000294862 0.012154 
0.000247118 0.00956966 
0.000207538 0.00741653 
0.000174669 0.00566078 
0.000147337 0.00426064 
0.000124599 0.00316805 
0.000105692 0.00233249 
9.00039e-05 0.00170507 
7.70428e-05 0.00124167 
6.64146e-05 0.000904599 
5.78054e-05 0.000663084 
5.09677e-05 0.000492962 
4.57093e-05 0.000375919 
4.18851e-05 0.000298608 
3.93912e-05 0.000251818 
3.81607e-05 0.0002298 
0.000436577 0.269123 
0.000459601 0.330808 
0.00050674 0.451878 
0.000580219 0.549477 
0.00068351 0.309422 
0.000821476 0.185416 
0.0010006 0.113734 
0.00122929 0.0709763 
0.00151823 0.0449255 
0.0018809 0.0288082 
0.00233417 0.0187292 
0.00289908 0.0123906 
0.00360179 0.00841276 
0.00447476 0.00595803 
0.00555825 0.00451757 
0.00690215 0.00378802 
0.00856823 0.00360011 
0.0106329 0.00387826 
0.0131909 0.00461882 
0.0163589 0.00587898 
0.0202809 0.0077686 
0.0251328 0.0104339 
0.0311259 0.0140136 
0.0385044 0.0185336 
0.0475234 0.0237003 
0.0583786 0.0285982 
0.0710177 0.031548 
0.0847005 0.0310049 
0.09715 0.0285607 
0.103526 0.025887 
0.0977025 0.0237864 
0.0858293 0.0223029 
0.0727718 0.0210504 
0.0608341 0.0195493 
0.0507864 0.017553 
0.0427165 0.0152152 
0.0364699 0.0128595 
0.0318411 0.0107736 
0.0286469 0.00914084 
0.026751 0.00806229 
0.0260718 0.00761208 
0.0265854 0.0079012 
0.02833 0.00914744 
0.0314151 0.0117666 
0.0360397 0.0165146 
0.0425239 0.0247306 
0.0513647 0.0387427 
0.0633349 0.0623569 
0.0796531 0.100158 
0.102249 0.147038 
0.133984 0.0999483 
0.17753 0.0619523 
0.224966 0.0381773 
0.177774 0.0240621 
0.13438 0.0158332 
0.102631 0.011204 
0.0798075 0.00888638 
0.0630246 0.00818456 
0.0503426 0.00874988 
0.0405361 0.0104338 
0.0328196 0.0131838 
0.0266707 0.0169455 
0.0217275 0.0215453 
0.0177296 0.026554 
0.0144832 0.0311769 
0.0118401 0.0342991 
0.00968461 0.0348811 
0.00792514 0.0327159 
0.00648823 0.0288285 
0.00531453 0.0245292 
0.00435581 0.02084 
0.00357278 0.0184075 
0.0029333 0.0176318 
0.00241109 0.0188172 
0.00198461 0.0222541 
0.00163623 0.028155 
0.0013515 0.0363126 
0.00111862 0.0452648 
0.000927925 0.0510462 
0.000771556 0.0477861 
0.000643099 0.0407977 
0.000537347 0.0335533 
0.000450074 0.0271767 
0.000377861 0.021771 
0.000317944 0.0172117 
0.000268094 0.0133935 
0.000226514 0.0102481 
0.000191759 0.00771462 
0.000162665 0.00572334 
0.000138294 0.00419443 
0.000117894 0.00304513 
0.000100857 0.00219713 
8.66954e-05 0.00158158 
7.50179e-05 0.00114127 
6.55116e-05 0.000830763 
5.79287e-05 0.000615233 
5.20763e-05 0.000468883 
4.78081e-05 0.000373279 
4.5019e-05 0.000315908 
4.36412e-05 0.000289057 
0.00041564 0.204718 
0.000437303 0.232001 
0.00048163 0.27377 
0.000550667 0.285835 
0.000647593 0.208916 
0.000776854 0.140763 
