x	y	z
49.9187	190.227	0
69.9487	201.424	0
-49.9093	177.132	0
-51.3011	161.086	0
9.65371	182.159	0
-13.6223	-110.832	0
-35.0913	-89.3285	0
-69.7938	-143.509	0
12.9121	-52.7857	0
21.8749	-39.0151	0
89.6304	-85.1444	0
73.6464	-41.4063	0
135.502	-42.7541	0
104.726	-77.5162	0
150.073	-10.2429	0
89.6531	-170.023	0
169.831	-30.3121	0
68.2181	39.199	0
-189.69	-16.2843	0
152.57	-49.9479	0
105.996	70.077	0
-175.002	-42.771	0
-160.95	72.2455	0
-69.6926	-161.232	0
-148.072	-68.0473	0
-62.6965	-97.1291	0
134.02	-26.3399	0
-70.0192	-195.9	0
93.5245	18.4407	0
-10.2268	133.033	0
-83.6105	96.661	0
-53.8362	-169.716	0
-126.671	-42.9108	0
89.5251	-0.293531	0
135.856	72.2877	0
-28.8864	-184.831	0
-25.651	-122.732	0
-46.8334	80.3034	0
3.90796	-113.506	0
19.6154	-146.968	0
-40.4237	-23.8715	0
-111.742	-51.5804	0
-29.4994	-150.973	0
-137.974	36.5606	0
76.493	-93.62	0
103.991	5.45108	0
12.1319	-128.8	0
-50.4446	-9.57678	0
-118.739	40.6119	0
22.4954	37.7193	0
150.049	50.2995	0
55.8279	-116.625	0
-20.9301	-50.1119	0
-108.303	14.0951	0
73.6458	-144.961	0
154.098	34.4673	0
-13.2835	-34.2093	0
73.0917	-115.501	0
-22.1473	-21.8134	0
-93.2746	82.9884	0
-90.9282	19.1046	0
-5.51274	-53.02	0
-59.8093	130.319	0
-49.8854	62.5513	0
-15.2557	117.827	0
-170.569	18.8527	0
-139.143	19.562	0
-9.78562	-150.177	0
5.62359	125.919	0
-142.839	69.5981	0
41.6382	60.6908	0
-109.659	74.6922	0
27.0771	-161.155	0
-127.654	-59.6342	0
-30.3132	83.8276	0
135.08	-77.9895	0
49.1495	15.5047	0
-68.082	-7.11064	0
-7.25757	44.0627	0
-46.1656	2.20908	0
49.1519	111.625	0
-29.4283	6.79443	0
-100.947	-114.189	0
44.8591	77.4389	0
35.5497	122.638	0
12.583	65.3186	0
55.3315	162.535	0
38.7511	156.473	0
39.0865	43.7725	0
77.667	106.492	0
26.5811	191.551	0
64.5208	117.65	0
60.5724	83.4797	0
85.6509	157.353	0
19.9589	22.9705	0
119.8	-69.2922	0
-70.2061	89.6601	0
-69.9096	110.217	0
172.454	-79.7742	0
-79.8985	130.001	0
-153.358	-83.1332	0
-47.4825	-102.663	0
120.49	150.011	0
101.474	149.223	0
-6.08645	-127.663	0
110.703	25.3493	0
-95.3298	2.9548	0
-65.3806	-38.7303	0
132.839	45.2304	0
28.6429	-53.588	0
-75.224	-70.2813	0
-32.388	148.616	0
-91.78	-100.85	0
-155.934	-7.79533	0
-30.3922	-106.498	0
-34.0264	67.2673	0
-102.848	-87.2274	0
-140.608	0.352065	0
-15.6094	148.326	0
-156.097	28.063	0
73.6095	-76.5534	0
58.1439	67.0149	0
88.3007	-17.5729	0
-61.6134	11.1304	0
21.1164	133.051	0
33.6847	105.104	0
-78.4232	6.47259	0
-95.7498	64.467	0
39.3598	-115.448	0
16.7067	4.72648	0
-49.2045	114.319	0
22.657	149.935	0
-85.4851	-10.1495	0
-75.2442	-107.632	0
14.0784	-8.269	0
-20.6963	55.5638	0
6.50876	143.118	0
25.7582	55.3174	0
-7.20172	-81.3488	0
18.7385	98.641	0
-79.26	69.4036	0
40.7416	174.646	0
-33.9883	-7.64397	0
-142.508	-51.3748	0
81.176	28.704	0
-13.6363	86.7737	0
82.9661	140.287	0
-18.9626	-93.9809	0
48.682	-101.198	0
101.454	52.2187	0
68.8059	151.538	0
134.312	-95.4944	0
115.301	41.753	0
26.3081	-83.9492	0
-205.699	-9.71693	0
-86.6767	35.6604	0
66.7066	134.842	0
170.796	-61.9899	0
-1.56504	-96.6859	0
96.4958	-139.604	0
90.388	78.9646	0
-18.5065	-137.451	0
-71.5558	-54.9262	0
-53.9967	45.8156	0
-192.606	-34.7955	0
4.78177	-36.0493	0
-30.5162	-35.7481	0
45.8047	-55.1427	0
62.5743	100.645	0
82.176	-129.923	0
72.8413	-59.4403	0
11.9533	-26.8537	0
-58.1614	98.9394	0
-3.7613	-19.2401	0
144.034	21.6584	0
15.5062	81.8617	0
110.659	103.217	0
62.179	4.47182	0
59.8696	-13.373	0
-57.2313	28.58	0
88.0406	-34.6597	0
52.764	145.674	0
-99.1097	47.9254	0
118.147	-19.3863	0
64.9982	-131.133	0
88.6554	-68.3063	0
-62.6346	73.7361	0
-110.348	-35.1108	0
-32.67	114.507	0
68.501	-161.039	0
57.4053	-31.4604	0
-150.866	45.9998	0
84.7108	45.7027	0
-25.9905	131.128	0
-124.693	7.88189	0
20.1577	116.04	0
-157.498	-42.6956	0
-66.5587	57.108	0
50.8728	128.607	0
105.175	-97.0404	0
-74.1373	23.2638	0
103.192	-11.0473	0
46.863	94.3671	0
-156.704	-25.3302	0
3.20892	91.7335	0
118.471	-2.04188	0
-126.062	-26.2511	0
59.5849	-86.0874	0
28.8322	70.8751	0
-82.302	-39.0309	0
-55.3248	-53.5883	0
149.834	-87.3478	0
69.1524	-179.626	0
-42.4337	-118.774	0
80.1592	124.036	0
-58.6216	-113.714	0
119.844	-86.3105	0
-37.0591	51.776	0
-86.6579	-118.282	0
-16.6886	-5.35983	0
148.526	-105.029	0
43.9991	-19.788	0
-24.9881	-80.4932	0
65.233	22.0379	0
63.1623	-102.71	0
74.5832	-6.90303	0
57.019	-67.8406	0
9.22796	-82.997	0
-90.1197	-69.8016	0
73.073	-24.5292	0
118.991	-36.0239	0
6.32679	32.6734	0
8.99513	49.1568	0
-52.063	-85.0346	0
2.92439	16.1649	0
52.1473	32.9914	0
71.5145	56.1073	0
-37.7118	-51.8172	0
-4.19368	59.8027	0
33.7084	10.1814	0
-11.4702	-64.7901	0
