368: 129,359,118,898,46,208,394,323,105
369: 48,431,241,7,256,336,93
370: 471,43,267,996,95,1023,172
1020: 663,670,691
372: 350,466,271,365,305,481,375,346,422
373: 415,270,100,223,429,297,475,21,404,163,492
374: 47,196,201,73,61,1026,228,30
375: 481,246,255,110,365,26,198,428,372
376: 555,262,457,679,496,116
377: 83,464,878,841,560,62,938,104,439
378: 225,403,412,407,207,449
379: 312,996,95,413,566,803
380: 387,349,292,57,170,235,174
381: 519,115,112,735,470
1016: 968,463,130,887,1037
383: 449,187,412,388,430,24,356
384: 272,80,274,350,271,158,328
385: 269,292,57,420,434,445,151,16,349
386: 42
387: 380,284,349,57,102,235,174,437,212,161
388: 226,1023,172,858,260,383,187,356
389: 494,394,323,353,299,495,1007,315
390: 108,123,308,18,419,459,68,77
391: 63,285,216,341,273,195
392: 10,59,440,322,218,184,251,473
393: 819,347,180,116,355,839
394: 494,247,323,389,105,315,368
395: 252,132,510,45,15,924,186
396: 466,325,481,255,82,403
1014: 1019
398: 328,497,203,274,94,149,617
399: 167,173,200,456,144,244
400: 911,850,988,693
401: 51,220,30,621,196,191,32,458,468
402: 66,478,135,155,317,344,124
403: 225,378,82,407,396,325
404: 21,144,332,229,297,475,456,373
405: 137,549,667,988,199,275,850
406: 486,408,159,339,268,72,52
407: 82,50,207,479,403,378,449
408: 486,218,406,159,268,72,227,52,440
409: 273,35,63,39,410,275
410: 70,199,275,35,63,280,39,409
411: 166,224,433,41,10,59,473,214,303
412: 225,378,383,449,187,120,331,430
413: 503,256,680,948,379,312,566
414: 438,18,247,133,88,289,230,364
415: 373,270,223,429,209,163,345,492,14
416: 590,418,869,839,819,924,596
417: 493,40,134,127,357,491,5
418: 590,416,869,819,924,132,362,747
419: 438,18,33,308,340,123,390,68
420: 269,385,363,434,433,453,151
421: 153,200,456,446,215,229,99
422: 346,365,305,372
423: 122,823,324,918,448,185,106,625
424: 12,49,131,11,300,111,177
425: 259,181,302,277,753,109
426: 209,156,125,310,498,321,163,258
427: 237,161,212,15,75
428: 82,50,278,188,0,246,375,255
429: 223,22,436,297,475,373,415
430: 348,24,356,412,383,449,120,146,331
431: 48,369,7,256,232,264,67,948
432: 254,455,276,339,49,131,72,290,52,55
433: 166,411,224,41,453,363,434,160,269,420
434: 363,490,152,433,192,151,420,385
997: 472,61,950,103,1026,73
436: 223,22,429,297,338,309,311,209,156
437: 45,212,15,102,387,284,142,97,186
438: 18,419,414,219,494,247,340
439: 298,113,787,62,938,442,326,83,162,377,254
440: 10,59,392,218,408,159,72,227,473
441: 296,19,103,327,367,249,121,472
442: 875,845,62,744,938,113,787,439
443: 488,120,146,768,348,687
1039: 740,130,1037,953
445: 192,151,265,57,385,457,16,679
446: 217,461,215,91,229,221,153,421
447: 360,338,364,301,79,20,309
