373: 415,270,100,297,223,429,21,404,475,163,484
374: 196,73,19,201,103,697,61,228,20,79,47
375: 481,396,255,173,110,246,365,26,198,428,372
376: 679,457,97,728,555,1039,361,116,262,496
377: 464,83,162,553,62,104,266,439
378: 225,403,412,331,407,207,479,325,383,449
379: 600,413,312,95,803
380: 387,284,349,16,57,292,170,235,174,333
381: 519,605,911,957
1016: 
383: 449,187,260,378,412,331,430,24,1047,356
384: 568,272,80,158,350,271,328
385: 269,57,420,151,453,192,445,292,349,16
386: 42,96,609,851
387: 380,284,349,102,235,174,437,212,15,161
388: 226,172,370,187,356
389: 315,394,323,494,238,46,495,78,1007
390: 108,123,308,340,18,419,68,77
391: 63,280,285,237,216,195,341,273,510
392: 10,59,440,184,218,408,322,140,251,469,473,411
393: 924,954,347,628,116,355,496,839
394: 315,389,323,494,219,368,105,247,133
395: 252,418,355,45,186,924,747,954
396: 481,375,255,82,407,372,350,466,325,403
1014: 806,513
398: 203,328,497,158,35,81,80,94,274,768
399: 200,99,144,456,167,173,484,110,244
400: 850,741,616,949,988
401: 191,32,321,30,196,73,220,261,468
402: 66,478,473,190,317,344,135,124,155
403: 225,378,482,396,82,50,407,207,325
404: 21,144,475,456,332,229,297,421,373
405: 635,549,911,988,667,850
406: 159,339,202
407: 82,50,0,396,207,204,479,225,403,378
408: 218,159,322,339,72,52,440,392,227
409: 275,28,273,63,410
410: 199,667,35,63,275,409
411: 166,433,41,363,469,10,59,392,303,214
412: 225,378,331,207,383,449,430
413: 312,256,95,286,379,600
414: 438,18,419,247,289,230,88,133
415: 373,270,100,223,429,209,163,345,492,14
416: 652,869,747,954,819
417: 127,40,134,183,493,167,357,491,304,5
418: 252,395,132,747,362
419: 438,18,414,494,308,340,123,390,68
420: 269,385,151,434,166,453,433,363,445,182
421: 153,200,99,446,461,215,229,404,456
422: 346,305,372
423: 248,625,884,918,552,448,324,689
424: 12,175,131,300,11,294,111,49,123,177
425: 181,277,753,581,259,966,744,302,109
426: 125,209,156,310,309,498,32,321
985: 
428: 82,50,157,246,188,0,278,375,255
429: 223,22,436,297,475,373,415
430: 120,24,1047,225,412,331,383,449,450,146
431: 48,369,241,7,232,680,257,264,503
432: 455,276,339,175,131,72,52,290,49
433: 166,411,453,41,363,59,303,434,160,420,151
434: 490,152,855,433,41,363,192,445,420,151
997: 249,472,950,56,103,621
436: 223,22,429,338,319,309,297,209,156
437: 45,212,15,186,97,387,284,142,355,262
438: 18,419,414,247,494,308,340,68
439: 298,326,62,113,875,83,162,377,254
440: 10,392,184,218,408,72,478,473,303,227
441: 296,19,201,327,329,472,103,61
442: 302,113,938,875,753,139,86
443: 450,146,331,568,272,617,488,687
1039: 601,728,555,376,457,361,347,262,496
445: 192,265,434,385,57,420,151,679,16,102
446: 217,461,215,91,332,229,221,153,421,456
447: 360,338,364,20,79,309,301
448: 918,552,770,689,625,423
449: 383,187,260,207,204,378,412,430
450: 443,146,350,225,482,331,568,272,430
451: 493,239,358,282,215,153,200,99,491
452: 577,117,499,8,162,206,337,653
453: 166,433,363,53,160,269,385,420,182
454: 740,887,928,514,963,708
455: 254,276,432,164,101,477,175,131,52,49
456: 404,144,446,229,153,200,421,399
457: 376,679,97,147,265,728,1039,102,262,496
458: 27,261,468,306,191,929,136,476,29,318
459: 68,13,77,360,319,38,221,22
1034: 524
461: 446,217,215,263,107,91,189,421
462: 823,106,138,537,231
463: 901,968
464: 83,162,377,8,841,266,337
465: 330,537,517,502,4,245
466: 372,350,271,325,365,481,396,255,346
467: 476,29,205,136,809,7,54,84,680
468: 27,458,261,306,220,51,191,401,32,476
469: 92,140,324,251,59,392,76,490,411,41,363
470: 112,735,767,519,605
1044: 913,773,591
472: 249,997,327,441,103
473: 66,478,402,303,227,190,10,440,392,214
474: 69,341,168,346,25,81,285,497
475: 21,404,332,229,297,429,373
476: 467,29,318,27,458,468,306,205,136,36,809
477: 352,17,86,787,101,193,455,12,175,131,11
478: 66,402,473,303,227,190,72,55,440,135,155
479: 207,204,257,85,0,342,82,50,407,378
480: 976
481: 396,375,255,246,365,82,372,466,271,325
482: 225,403,331,350,325,568,272,450
