280: 63,285,391,35,474,203,497,81,94
281: 179,655,805,856,353,238,87
282: 189,344,402,215,451,124,239,153
1019: 992,504,872
284: 380,387,349,102,457,142,97,437,212
285: 63,280,391,216,474,341,168,81
286: 566,2,680,600,638
287: 339,164,268,337,206,326,162,452,276,202
288: 115,94,149,767,199,667,137,519
289: 230,364,133,18,414,13,360,319
290: 190,72,227,52,432,55,111,49
291: 249,812,56
292: 269,385,57,58,170,182,380,235
293: 840,655,712
294: 55,111,177,263,107,123,317
295: 56,320,950,697
296: 19,441,327,367,121,230,88
297: 332,38,221,475,319,22,436,429,404,373
298: 439,101,875,787,113,326,83,164,254,455
299: 353,46,323,389
300: 33,308,340,11,64,424,12,111,177,123
301: 19,79,121,230,364,447,228,20,309
302: 442,966,425,139,109
303: 214,155,10,66,473,166,411
304: 26,198,316,40,173,357,110,5
305: 26,316,366,365,69,168,346,25,422,372
306: 318,989,936,261,861,929,809
307: 210,5,366,354,134,316,69,71
308: 33,300,340,11,438,419,108,123,390,68
309: 310,20,301,360,447,338,436,156
310: 228,20,309,47,32,426,156,321
311: 223,436,209,156
312: 379,267,413,948,803,370,95
313: 243,126,277,109,314,171,487
314: 139,171,86,313,243,352,193,487
315: 78,219,64,1007,487,495,494,394,323,389
316: 304,305,26,198,40,357,5,307,366
317: 189,344,135,294,55,263,107,402,461
318: 989,306,51,936,458,261,809
319: 360,338,289,459,68,13,38,297,22
320: 56,295,176,351
321: 498,191,310,47,32,426,156
322: 60,485,117,268,218,408,159,202,140,184,392
323: 247,394,389,105,353,299,46,118,315,368
324: 122,423,918,92,625,248,152,76
325: 225,403,482,481,396,350,466
326: 83,162,464,298,439,101,164,287,254,276
327: 222,329,367,249,472,296,441
328: 203,497,398,158,271,234,384,80,274
329: 222,327,367,208,769,129
330: 138,465,145,4,577,279,653
331: 450,146,225,482,412,430,120
332: 229,38,221,475,297,217,404,456
333: 65,235,174,380,210,354,150,161,71
334: 345,492,336,342,242,14,241
335: 197,533,958
336: 258,31,93,334,345,241
337: 164,268,287,206,8,162,464,577,452,117,499
338: 360,447,319,309,22,436,156
339: 164,268,287,206,254,276,432,406,159,72,52
340: 33,308,300,219,494,247,438,18,419
341: 474,69,71,150,216,195,285,391,81
342: 242,14,334,188,165,0,48,232,85
343: 179,655,805
344: 189,317,282,135,402,215,155,124
345: 334,163,492,125,415,336,258,14
346: 168,25,422,158,305,365,372,271
347: 671,496,180,361,116,355,262,393
348: 772,645,120,443,687
349: 380,387,284,57,102,16,174,97
350: 466,271,482,325,384,272,80
351: 176,947,778,56,320
352: 477,17,314,171,86,787,193,487
353: 299,238,87,46,495,281,323,389
354: 210,5,307,65,333,150,69,71
355: 116,142,393,186,347,924,839,395
356: 383,187,388,226,172,645,24,609
357: 167,173,491,417,493,40,304,198,316
358: 239,9,53,58,417,493,127
359: 129,368,247,105,367,230,88,133
360: 447,338,319,289,364,13,309,22
361: 671,347,180,6,555,963,879,628
362: 747,132,418,510,28
363: 490,434,152,469,433,41,151,420,453
364: 289,121,230,301,13,360,447
365: 481,375,255,305,26,198,346,422,372,466
366: 5,307,305,26,316,69,25
367: 327,329,208,129,359,88,296,441
368: 129,359,46,118,208,323,105
369: 48,431,241,7,256,93,242,503,264
370: 471,43,95,312,267,388,1023,172
1020: 971,691
372: 466,271,305,26,481,365,346,422,158
373: 415,270,100,475,297,223,429,21,404,163
374: 47,196,32,73,79,61,201,228
375: 481,255,365,110,246,26,198,428
376: 679,457,555,1039,728,671,496,116,262
377: 83,162,464,104,560,62,938,266,439
378: 225,403,412,407,207,260,383,449
379: 312,413,803,95
380: 387,284,349,57,292,170,235,174,333
381: 519,785,767,470,874,735
1016: 463,968,887
383: 449,187,356,378,412,430,24
384: 272,80,274,158,350,466,271,328
385: 269,57,420,453,292,192,445,151,16
386: 42,556
387: 380,284,349,102,235,174,437,212,161
388: 226,1023,172,187,356,370,609
389: 394,323,353,299,46,495,1007,315
390: 107,108,123,308,18,419,459,68,77
391: 63,285,280,216,341,273,195
392: 10,59,440,322,218,408,140,184,251,469,473,411
393: 116,142,355,347,180,652,924,839
394: 494,247,323,389,105,219,1007,315
395: 252,132,418,355,186,45,924
396: 481,255,82,407,466,403,325
1014: 791,504
398: 203,328,497,80,274,94,149,617
399: 200,421,99,144,456,167,173,244
400: 850,988
401: 196,32,30,220,191,261,468,27
402: 66,478,473,317,344,282,135,155,124
403: 225,378,325,396,82,407,207
404: 21,144,456,332,229,475,297,373
405: 137,549,988,275,667,850
406: 486,408,159,339,268
407: 82,50,396,207,204,479,403,378
408: 486,218,406,159,268,322,72,227,52,440,392,473
409: 988,28,273,510,39,63,275,410
410: 275,199,667,273,39,63,35,988,409
411: 166,224,433,41,10,59,392,214,303
412: 225,378,383,449,331,430
413: 379,312,431,256,503,948
414: 438,18,419,247,289,230,133,13
415: 373,270,100,223,209,163,345,492,14
416: 869,819,924,839,418,747
417: 493,40,134,127,358,183,357,491,5
418: 395,132,924,416,362,747
419: 438,18,414,33,308,340,123,390,68
420: 269,385,453,363,434,433,151
421: 153,200,399,99,446,215,229,456
422: 346,305,365,372
423: 324,122,918,106,448,625,248,770
424: 12,175,131,300,11,111,177,49
425: 753,181,966,302,139,109
426: 125,209,156,310,498,321,163,258
427: 237,161,15
428: 82,50,157,246,188,0,278,375,255
429: 223,22,436,475,297,373
430: 24,120,412,383,331,146
431: 48,369,7,256,503,232,264,948,67,413
432: 254,455,276,339,175,131,72,290,52,55,49
433: 166,411,224,41,363,490,160,420,453
434: 363,490,152,855,979,192,151,420
997: 1026,61,249,472,950,103
436: 223,22,429,311,338,309,297,209,156
437: 45,212,15,387,284,142,97,186
438: 18,419,414,494,247,308,340,133
439: 298,875,62,113,326,83,162,377,254
440: 10,59,392,218,408,159,72,227,184,473
441: 296,19,103,327,367,472
442: 302,113,938,139,86,875
443: 488,687,146,120,348
1039: 555,728,1045,147,376,671
445: 192,151,265,385,57,679,16
446: 217,461,215,91,189,229,221,153,421,456
447: 360,338,121,364,301,20,309
448: 106,185,552,423,918,612,625,770
449: 383,187,207,260,378,412,226
450: 331,146,482,272,768
451: 124,239,282,215,153,200,99,493,491
452: 577,117,499,8,553,162,145,287,337,206
453: 269,385,420,363,166,433,160,182
454: 514,708,963,595
455: 254,276,432,298,101,175,131,52,49
456: 404,144,446,332,229,153,200,421,399,244
457: 102,679,16,376,728,284,496,97,262
458: 476,261,468,27,220,318,989,29
459: 68,13,77,18,390,319,38,221
1034: 789,940
461: 446,217,215,263,107,91,189,317
462: 231,1008,537,138,279,584
463: 1016,887,689,130
464: 326,83,162,377,104,8,553,266,337
465: 138,330,145,245,4,537
466: 372,350,271,481,396,365,325,384
467: 84,29,476,205,136,240,54
468: 476,458,261,27,32,401,220,191
469: 92,140,251,59,392,363,490,152,76,41
470: 112,767,381,519,735
471: 370,43,172,858,609,724
472: 249,222,327,103,441,997
473: 66,478,402,408,227,10,440,392,303
474: 69,341,71,168,25,285,280,81
475: 332,297,429,21,404,373
476: 458,468,27,989,136,467,29
477: 352,17,86,101,787,193,12,175
478: 66,402,473,190,227,98,55,135,155
479: 207,204,232,85,0,82,50,407
480: 956,695
481: 396,375,255,365,372,466,325
482: 225,325,350,272,331,450
483: 772,851,211,556
484: 157,244,21,144,100,213,278
485: 60,653,322,577,44,117,206,3,159,202,184
486: 408,406,159,268
487: 78,193,1007,315,314,171,313,243,495,352
488: 443,687,568,119,959
992: 1019,546,816
490: 363,434,152,76,469,59,248,433,41
491: 167,173,357,451,200,99,417,493,40
492: 334,163,345,415,270,165,14
493: 417,127,9,451,239,358,99,58,167,357,491
494: 247,394,78,219,315,33,340,438
495: 353,238,243,126,1007,487,315,389
496: 671,347,555,728,457,376,116,262
497: 203,328,398,81,168,158,280,274
498: 191,321,36,32,125,426,258
499: 577,452,587,8,553,266,145,337
500: 779,656
501: 
502: 537,517,233,231
503: 54,431,369,7,256,680,413
504: 516,1014,1019,872
505: 
506: 
507: 968,518,1011,978
508: 619,970,615
509: 
510: 273,195,75,252,132,362,28,409
511: 
512: 119,211,605,864
513: 
514: 454,928,907
515: 37,878,914,567,581
516: 504,527,872
517: 537,1013,502,231
518: 583,801,1011,978,507
519: 381,785,115,288,767,137,470
520: 756,837,686
521: 
522: 559,973
523: 
524: 789,796,940,1030
525: 658,915
526: 755,678,991
527: 738,516
528: 
529: 730
530: 1042,684,643,826
531: 547
532: 
533: 197,335,259,958,181
534: 
535: 996,43,724
536: 965
537: 517,245,502,138,465,462,231
538: 895
539: 
540: 696,892
541: 1024,817,745
542: 962
543: 
544: 827
545: 571,812
546: 816,992
547: 531,987
548: 
549: 405,137,785,911
550: 798
